,Average Training Accuracy,Average Training Loss,Average Training Precision,Average Training Sensitivity,Average Training Specificity,Average Training F1,Average Training JS,Average Training Dice Coefficient,Epochs
0,0.8437234560648599,0.461345575040295,0.6958651292301765,0.6958651292301765,0.9601964919318673,0.47447439154124427,0.3136759778227287,0.4744748389332919,1
1,0.8847715665423679,0.34429114986033665,0.8435572743942361,0.8435572743942361,0.978092134410268,0.62694781111531,0.45888481203830844,0.6269482751582925,2
2,0.8973545346941266,0.30518493623960585,0.8708492189695927,0.8708492189695927,0.9800374519403509,0.6780852751770693,0.5167639718838553,0.6780857456944669,3
3,0.9038262594313848,0.27914051640601384,0.8775066373181637,0.8775066373181637,0.9805589589563419,0.7046379022874468,0.546306639886959,0.7046383790991513,4
4,0.9087350330655537,0.25854592947732835,0.8834648122699242,0.8834648122699242,0.9808438493730695,0.7233441534190534,0.5693813296665985,0.7233446333191916,5
5,0.9155626675439259,0.23829479284939312,0.8882207277355443,0.8882207277355443,0.9808291657055855,0.7483578565906936,0.5995901920162245,0.7483583415529436,6
6,0.9150828482612732,0.23047325174723352,0.8918230020131007,0.8918230020131007,0.9817287804545052,0.7439033276415576,0.5950697618964552,0.743903810583936,7
7,0.9215644730461969,0.2139155458481539,0.8973308287458207,0.8973308287458207,0.9815582856951063,0.7702047255475636,0.6283175729728152,0.7702052125742982,8
8,0.9230729738871258,0.205620793537015,0.8988452677384366,0.8988452677384366,0.9818511985408941,0.776748146809698,0.6367062456219981,0.7767486354853904,9
9,0.9257936629038008,0.19665187277964183,0.9018799655432914,0.9018799655432914,0.9821040110934662,0.7864596873967038,0.6494152718478186,0.7864601770229055,10
10,0.9275994830661348,0.1907493124405543,0.8971404211160612,0.8971404211160612,0.9813466737673906,0.7914580269529055,0.6566118149616833,0.7914585169639436,11
11,0.9269216098482648,0.18593625493702434,0.9017965189725811,0.9017965189725811,0.9821336601196284,0.7896337858835927,0.6543471749170682,0.7896342747409364,12
12,0.9307005821712434,0.17711943778253736,0.9031279934995421,0.9031279934995421,0.9819867993340965,0.8016385658979298,0.670328574478642,0.8016390577185746,13
13,0.9326114881606328,0.17053731211594172,0.9081201788174362,0.9081201788174362,0.9830067816847872,0.8085375969356987,0.6798814595044703,0.8085380888641264,14
14,0.9322597261459104,0.17010777053378878,0.9061032898795044,0.9061032898795044,0.9825122578395531,0.8074589616210456,0.6785916236663615,0.8074594534838937,15
15,0.9342561827765572,0.164806000977045,0.9048286395137461,0.9048286395137461,0.982063570660781,0.8137474193562798,0.6872568643562912,0.8137479126406623,16
16,0.9358067663889079,0.1593300136959269,0.9072658175149599,0.9072658175149599,0.9828359630564544,0.8181356936315121,0.6934513116686691,0.8181361868403061,17
17,0.9364726884024486,0.1597989150988204,0.9036680176823864,0.9036680176823864,0.9823376248242626,0.8195556414565139,0.6964832766621482,0.8195561345464859,18
18,0.9372115967765688,0.15456165887770199,0.9105626261007616,0.9105626261007616,0.9830613531982217,0.8207836880397146,0.6972822341728366,0.8207841814068617,19
19,0.939329465230306,0.14897632864969118,0.9136112712511161,0.9136112712511161,0.9837728123247509,0.8284779785791369,0.7081924691877616,0.8284784725555644,20
20,0.942835111466665,0.14113467284256503,0.915494634183357,0.915494634183357,0.9836883645765294,0.8402461544385971,0.7252079592475942,0.8402466497523134,21
21,0.9436527660914833,0.1388740832252162,0.9185743895469697,0.9185743895469697,0.9841522515388297,0.8416224200054898,0.7276798725945233,0.8416229153224117,22
22,0.9449902413383364,0.13490801065095834,0.9185790359414143,0.9185790359414143,0.9840441314672601,0.8455377596848866,0.7334928841880582,0.8455382553812437,23
23,0.9449916491432797,0.13420004672592595,0.9174177866261426,0.9174177866261426,0.98433034237927,0.8448767209126451,0.7326986704111751,0.844877216498127,24
24,0.9471915108816963,0.12872199430352166,0.9255660843015148,0.9255660843015148,0.9852840322234762,0.8520153339687492,0.7432589048624968,0.8520158298214634,25
25,0.9490260396684915,0.12587179784618674,0.9240219521779464,0.9240219521779464,0.9847668795652732,0.8583618280496952,0.7526100933344352,0.8583623247922127,26
26,0.9492800727723137,0.12306856976023742,0.9277722045304929,0.9277722045304929,0.9853759300838336,0.8585424860249917,0.7530998404563682,0.8585429822762618,27
27,0.9498822272769987,0.1210126614286786,0.9291434024743195,0.9291434024743195,0.9856431899940519,0.8612032940451998,0.7571536995562085,0.8612037903645509,28
28,0.9521438507806689,0.11570098934074242,0.9302040799947842,0.9302040799947842,0.9856946332573545,0.8665500967974085,0.7653695131702104,0.866550593617857,29
29,0.9523638846382261,0.1153936901440223,0.9316339694534695,0.9316339694534695,0.9859312159103566,0.8681791317255868,0.7677890404174954,0.868179628771218,30
30,0.9542442957560221,0.11145114792244774,0.9315945087677145,0.9315945087677145,0.9859566220571878,0.8728275788108678,0.7750497644646126,0.8728280762321342,31
31,0.955458255041213,0.1078295170196465,0.9353122635680895,0.9353122635680895,0.9868012149725756,0.8763327960635825,0.7805603797422533,0.8763332932569126,32
32,0.9560065420847091,0.10669787698203609,0.9332560280758028,0.9332560280758028,0.9859247044667321,0.8793250423257675,0.7852295942719653,0.8793255400888601,33
33,0.9577972169906372,0.10182641056321916,0.939047586543021,0.939047586543021,0.9873209389229103,0.8835350748242812,0.7919807269744933,0.8835355726186097,34
34,0.9597042098877921,0.09818348900548049,0.9400424682500356,0.9400424682500356,0.9874501292539132,0.8895812253150527,0.8015843145123837,0.8895817235356934,35
35,0.9610270318530851,0.09509227114419143,0.9415765583368816,0.9415765583368816,0.9876257075175462,0.892538109584095,0.8064397674093586,0.892538607947202,36
36,0.9599685744633751,0.09570285722258545,0.9410814016500683,0.9410814016500683,0.9877043322164968,0.888962025277563,0.8008263868294703,0.8889625230210185,37
37,0.9619392213367279,0.09243213926397618,0.9433654301333945,0.9433654301333945,0.9878276195877893,0.8951597689826045,0.8107079390034466,0.8951602672970231,38
38,0.9630581916324675,0.08947143845614933,0.9450762240645053,0.9450762240645053,0.9883609945298899,0.8987403546733498,0.8164952198535473,0.8987408532860831,39
39,0.9641289862375408,0.08793665051815056,0.9465002693272828,0.9465002693272828,0.988539613186771,0.9013557390270839,0.8209177995118234,0.9013562376415316,40
