,Average Training Accuracy,Average Training Loss,Average Training Precision,Average Training Sensitivity,Average Training Specificity,Average Training F1,Average Training JS,Average Training Dice Coefficient,Epochs
0,0.8594927409338573,0.5996736408699126,0.6787509766333962,0.6787509766333962,0.925184847236743,0.6231607775211615,0.45741475469069587,0.6231612662923777,1
1,0.8813577076745412,0.5358631720855123,0.8209769450727998,0.8209769450727998,0.9743534417739319,0.6218243893874745,0.4534158033379474,0.6218248558859021,2
2,0.8872069706992495,0.510739657495703,0.8486076556374252,0.8486076556374252,0.9782318607425327,0.6400781354644297,0.4727562692249543,0.64007860277568,3
3,0.8902094099256724,0.491531317787511,0.8557612977424381,0.8557612977424381,0.9791919432044567,0.6506406203314611,0.4842548257626692,0.6506410891995973,4
4,0.8938146924215644,0.4721097747484843,0.8670093239245988,0.8670093239245988,0.9805478230506924,0.6652163636508627,0.5001819309866307,0.6652168336451643,5
5,0.894657377212767,0.4576728390086265,0.8666751430812273,0.8666751430812273,0.9800980390701044,0.6673721181855745,0.5028141389437527,0.6673725889214313,6
6,0.8970872485448447,0.4406915803750356,0.8760533458537755,0.8760533458537755,0.9816134227171082,0.6779847591028045,0.5144821133836606,0.6779852315203492,7
7,0.9019066644093343,0.4233525512473924,0.8779369569353906,0.8779369569353906,0.9812039575853332,0.6963995790070356,0.5359343871864406,0.696400055096673,8
8,0.9043870047917443,0.40971024547304424,0.8797949304548593,0.8797949304548593,0.9815690951760552,0.7064579910039716,0.5486788299285873,0.7064584680546794,9
9,0.9063233572339255,0.3956515033330236,0.8827359665509843,0.8827359665509843,0.9816849431988247,0.7112721411886532,0.5543847736727044,0.7112726201600434,10
10,0.9060738881429031,0.38490093286548344,0.8816763670708797,0.8816763670708797,0.9814450845590235,0.7110734370597458,0.5538248294524858,0.7110739149075321,11
11,0.9118224249945749,0.3672019658344133,0.8927268532535997,0.8927268532535997,0.9825727770802258,0.7328473077361991,0.5798753772333656,0.7328477902724753,12
12,0.9139006175692117,0.355913292439211,0.8891440954287159,0.8891440954287159,0.9818401325755278,0.7411209869754146,0.5902738617819642,0.7411214707181019,13
13,0.9131182110498821,0.3468567711256799,0.8959633797134463,0.8959633797134463,0.9832534576081619,0.7363160716834815,0.5843304089833777,0.7363165539684927,14
14,0.9145698244609531,0.33757697471550535,0.8905620742925825,0.8905620742925825,0.9821916988699323,0.7439535750627032,0.5939967252566806,0.7439540588488559,15
15,0.9176477704729352,0.325075901335194,0.8981698772909972,0.8981698772909972,0.9828527425660246,0.753929614917558,0.6067640576778537,0.7539300997281196,16
16,0.9202674986824158,0.3156466480521929,0.8950316636014722,0.8950316636014722,0.9821964907003937,0.7642206011581278,0.6199290040035909,0.7642210886998813,17
17,0.920133772350493,0.3078905180806205,0.8985537520868719,0.8985537520868719,0.9829884347972507,0.76310305258416,0.6188697778533455,0.7631035387042128,18
18,0.9236699967157277,0.2958609862696557,0.9072085148323216,0.9072085148323216,0.9841669047535336,0.7740732646204006,0.633034845887631,0.774073752234643,19
19,0.9245545523507255,0.2898504595671381,0.9008350533466063,0.9008350533466063,0.98266604044049,0.7788455540200756,0.6392285985900834,0.7788460430202041,20
20,0.9250695667569596,0.28249730453604743,0.9077045731119681,0.9077045731119681,0.9843961998805353,0.7801262970129178,0.6408764086660304,0.7801267853479517,21
21,0.9275877513582744,0.2745503882567088,0.9089555930342248,0.9089555930342248,0.9840585801232407,0.7879713005316724,0.6517207462699172,0.787971790269925,22
22,0.9279764266241163,0.2696302646682376,0.9037792344008148,0.9037792344008148,0.9832517245967443,0.7888769570756842,0.6528793157160504,0.7888774471838758,23
23,0.9289591047498914,0.2626899610317889,0.910723494057304,0.910723494057304,0.9840715683987249,0.7927994625236702,0.6585389945704672,0.7927999524940723,24
24,0.93020514836387,0.2570216256592955,0.912493754671817,0.912493754671817,0.9846402503937798,0.7970052226169836,0.6642976889246219,0.7970057126571207,25
25,0.9321949973938954,0.24986588582396507,0.9177613709736737,0.9177613709736737,0.9851010118327269,0.8066193736970746,0.6773405191235344,0.8066198647138331,26
26,0.9310418991815478,0.24758304353980792,0.9117077841520281,0.9117077841520281,0.9844739362015874,0.8016889817001992,0.6702576523059369,0.8016894732277484,27
27,0.9311228555346293,0.24425716432077543,0.912675376546967,0.912675376546967,0.984654538403124,0.8004700296720899,0.6688418351787595,0.8004705206129249,28
28,0.9351446060907271,0.23614666522258804,0.9168500849473269,0.9168500849473269,0.9849177099768286,0.8135331788648253,0.6869112456349099,0.8135336715367787,29
29,0.935441698346819,0.23367388351332574,0.9166521743989197,0.9166521743989197,0.9852688798922605,0.813097519201872,0.6865684875502931,0.8130980115273765,30
30,0.9377489241342694,0.2269851134291717,0.9183049377415234,0.9183049377415234,0.9849790717763809,0.8216010387809864,0.6983355424909709,0.8216015321188818,31
31,0.9397293272472563,0.22170302537935122,0.9215626192575609,0.9215626192575609,0.9856593746417349,0.8279461964363283,0.707315909810621,0.827946690366391,32
32,0.9397126455155632,0.21886243813094639,0.9223234209847504,0.9223234209847504,0.9855508406088374,0.8278629518836782,0.7074722439406288,0.827863445619545,33
33,0.9413057660299632,0.21480423105614527,0.9259612769251543,0.9259612769251543,0.986114166822061,0.8329225157946721,0.7149233710026924,0.8329230097620771,34
34,0.9423647381010505,0.2116065768613702,0.926306898285676,0.926306898285676,0.986231547373578,0.8378596904299743,0.7220715405764387,0.837860184833007,35
35,0.9438950674874446,0.20705832416812578,0.9263488843216162,0.9263488843216162,0.9863303247729831,0.8399480749554672,0.72533499519186,0.8399485697269585,36
36,0.9438656095474488,0.2057950407976196,0.9272516349953196,0.9272516349953196,0.9864993830929029,0.8405675803387711,0.7261574666809483,0.840568075197266,37
37,0.9462764376685728,0.20070900803520567,0.9294015985636003,0.9294015985636003,0.9863660798421483,0.8488709859242449,0.7382863587880641,0.8488714813956368,38
38,0.9474802168588787,0.1977404583068121,0.9302201099179626,0.9302201099179626,0.9866935577217846,0.85099372172378,0.7418629990257298,0.8509942173543837,39
39,0.9478269910055497,0.19631528747933252,0.9299704431762004,0.9299704431762004,0.9866417926326624,0.8524525245022381,0.7437183867032534,0.8524530203469156,40
40,0.9498030041891432,0.19116401494968505,0.9370958324323733,0.9370958324323733,0.9877638857635167,0.8601881801422918,0.7556388235401195,0.8601886760981452,41
41,0.9499812958732485,0.19079204098809333,0.9320614759413016,0.9320614759413016,0.9869284438223948,0.8585617114834188,0.7533471850295711,0.8585622078687533,42
42,0.9512618836902439,0.18822385956134116,0.9331976068302307,0.9331976068302307,0.987401817223847,0.8622142720304863,0.7587912800449623,0.8622147684801993,43
43,0.9511089627704924,0.1862940690701916,0.9360347541775567,0.9360347541775567,0.9874324582355747,0.8630671519696921,0.7600263353669382,0.8630676483437092,44
44,0.9521929725768078,0.18486497551202774,0.9334916850677034,0.9334916850677034,0.9871865009819445,0.8656869663081904,0.763938313790898,0.8656874631548623,45
45,0.9524422902909537,0.1834912427834102,0.9375380491910309,0.9375380491910309,0.9877598145256188,0.8674621513716667,0.7667041961691354,0.8674626479844202,46
46,0.9529269384959388,0.18237532249518804,0.9365470631506871,0.9365470631506871,0.9876589371739909,0.8677602844599497,0.767245499951082,0.8677607812111037,47
