,Average Training Accuracy,Average Training Loss,Average Training Precision,Average Training Sensitivity,Average Training Specificity,Average Training F1,Average Training JS,Average Training Dice Coefficient,Epochs
0,0.8479538190932503,0.4746975497830482,0.6527548805934694,0.6527548805934694,0.9482690053255747,0.5148040393650893,0.35888663914260704,0.5148045065275668,1
1,0.8886365284995428,0.3349936835113026,0.8446784100985093,0.8446784100985093,0.9768257863943054,0.6483410527302377,0.4814764501632573,0.6483415219478295,2
2,0.8993884041195824,0.2925430270177977,0.8609599801008098,0.8609599801008098,0.9783073523714492,0.6897595599660478,0.5284940343746097,0.6897600368612775,3
3,0.9052170042007688,0.268342872638078,0.8671516334345485,0.8671516334345485,0.9781813996131183,0.7118756821658169,0.5545501584434963,0.7118761616822449,4
4,0.9097441945757184,0.24853264025989033,0.8789824506698191,0.8789824506698191,0.9801224767528199,0.7286904611023757,0.5751479815108981,0.7286909428061064,5
5,0.9158437744019524,0.23054281143205507,0.8849604262621261,0.8849604262621261,0.9802483208161478,0.7521968165748516,0.6047371740395155,0.7521973026003126,6
6,0.9180082972087555,0.21978513488457316,0.8874996225122526,0.8874996225122526,0.9805687420177998,0.7585872249686155,0.6127209376439255,0.7585877111835386,7
7,0.9200014765300449,0.20793533059103148,0.8932275745703148,0.8932275745703148,0.9812526996715766,0.7671452421207285,0.6236234304292056,0.7671457298732705,8
8,0.9235380869063119,0.19980888246070772,0.8908493758985967,0.8908493758985967,0.9804435832686048,0.7788767371698244,0.6394110904910311,0.7788772268858356,9
9,0.9237169008406381,0.1946826490263144,0.8942892034998406,0.8942892034998406,0.9811972852622455,0.7792944967568305,0.6403688341131455,0.7792949857996456,10
10,0.9269917427547395,0.18597375974059105,0.895633921559322,0.895633921559322,0.9810790805413111,0.788966518789196,0.6524600235204494,0.788967009837227,11
11,0.928201947893415,0.18012445260371482,0.9027871957836128,0.9027871957836128,0.9826048617598351,0.7921348581529996,0.6572614153157792,0.7921353484640052,12
12,0.9290281553117052,0.17609324802954993,0.902648931043664,0.902648931043664,0.9823079895697601,0.7966709364892977,0.6635731582407772,0.796671427388697,13
13,0.9310914296952506,0.17261230803671337,0.8978921398301617,0.8978921398301617,0.9813020469019216,0.8041605332581011,0.6740088927760348,0.8041610255024588,14
